x_Sanriku y_Sanriku ae_model_Sanriku an_model_Sanriku au_model_Sanriku ve_1998_model_Sanriku vn_1998_model_Sanriku vu_1998_model_Sanriku ve_2009_model_Sanriku vn_2009_model_Sanriku vu_2009_model_Sanriku
-1.5118001527828497e+02 -1.1495923719447754e+01 -2.4463177459948030e-02 -7.7946144917006412e-03 -3.1313312806681500e-03 1.0136799573413934e-03 -6.7167355175796017e-05 3.3606495934727253e-04 7.4458500528196505e-04 -1.5290811458450307e-04 3.0162031525992288e-04
-1.3388643469280422e+02 -3.1351457908791453e+01 -1.4425863360853526e-02 3.2899023541714339e-03 -2.0331291987356810e-03 7.0159322621811252e-04 -3.5458906635355361e-04 2.6011384135521176e-04 5.4290872924872373e-04 -3.1840014045766784e-04 2.3774942016911927e-04
-1.6921510575560976e+02 -3.5107729333766230e+01 -1.6620826307379526e-02 -6.5149223009702334e-03 -2.9920430820909558e-03 7.6207403214971275e-04 -3.5808783349520924e-05 2.8126831968264840e-04 5.7924494276853796e-04 -1.0747292866019349e-04 2.4835584577964789e-04
-1.5225906270218550e+02 2.2391819916119007e+02 -5.6281484259313064e-01 3.1352853953545895e-02 9.5657034166475377e-03 1.5068502755332858e-02 -1.3532342089276912e-03 -8.3331318650268289e-04 8.8775394868084202e-03 -1.0083528154386863e-03 -7.2809044891955998e-04
-1.7905468322523572e+02 2.1852023975077370e+02 -4.5210247825259625e-01 9.3667571080089298e-03 -2.4118354105691010e-03 1.2666282728655859e-02 -7.5001196122805773e-04 -1.8496951467044759e-04 7.6931554678773004e-03 -6.4697763303995951e-04 -2.1149970418670770e-04
-1.3463316387310508e+02 2.1140691690439732e+02 -6.1547730501420606e-01 8.8105779558049647e-03 2.8970118274314706e-02 1.5936845842660655e-02 -7.9278628304619463e-04 -1.3929168518270502e-03 9.1665954875043889e-03 -6.9586992553234001e-04 -1.0742455508095884e-03
-1.9751672853704343e+02 2.1586846188057334e+02 -3.9217406205315175e-01 8.4420476900977262e-04 -4.2363952319607184e-03 1.1271161292498192e-02 -4.9069155662719499e-04 3.6581579923628359e-05 6.9572466099135227e-03 -4.8140530416808749e-04 -1.0018767627939542e-05
-1.6794179074893103e+02 1.8890275974003012e+02 -4.2512844934387545e-01 -3.7138150381404868e-02 -3.7750134999764971e-04 1.1852289679432314e-02 4.5849040770280883e-04 -1.9347299033054579e-04 7.1758767366496851e-03 4.9970753507355264e-05 -1.9762550518051994e-04
-1.9115369545075902e+02 1.8158094016017131e+02 -3.4803588931652568e-01 -4.0602627362553607e-02 -4.8559587686035416e-03 1.0066284833002370e-02 6.2673954386232428e-04 1.1176028401866379e-04 6.2378900505205880e-03 1.8011064287423460e-04 5.8344737564024825e-05
-1.5185775756648033e+02 1.5993671454238597e+02 -3.7372800420256203e-01 -7.2351201684915351e-02 6.0160269335639031e-03 1.0305953312853458e-02 1.3490961575291199e-03 -1.5644577361886608e-04 6.1949452666252760e-03 5.5323293899505106e-04 -9.0269477349663147e-05
-1.8318746575957556e+02 1.5052614595319267e+02 -2.8853940599386413e-01 -6.4967072562937267e-02 -4.1718006630541279e-03 8.4143052621798112e-03 1.2913405869041687e-03 2.1072825472118358e-04 5.2403717962473057e-03 5.7670278871185885e-04 1.6483844742758817e-04
-1.7037809807652530e+02 1.3812124316809184e+02 -2.7240058762531622e-01 -7.3402718443901283e-02 -2.4016320879178292e-03 7.8829974201117398e-03 1.4860653629349449e-03 2.1993791479778247e-04 4.8865909562332615e-03 6.7863546005203078e-04 1.9351996183068635e-04
-1.5599335625260628e+02 1.1312621704392163e+02 -2.1224161803430253e-01 -7.5092816582423616e-02 6.9817540662020863e-04 6.1743169312128456e-03 1.5049758426017087e-03 3.0584867219623471e-04 3.8396591328355178e-03 6.7895486019504882e-04 3.1352860166905701e-04
-2.1256807079868884e+02 1.0102500343724255e+02 -1.5559050366274663e-01 -5.9009485614552888e-02 -3.6874265355174326e-03 4.9006845882269660e-03 1.3010267433883329e-03 3.2917650164322141e-04 3.1891890479367534e-03 6.5192240162825115e-04 2.8861480975252965e-04
-1.9072625130538626e+02 9.5812665083628687e+01 -1.5614583135940727e-01 -6.2963229156698552e-02 -4.4218243155807893e-03 4.8422117123236991e-03 1.3500906649328247e-03 3.8249183510625080e-04 3.1246075673702191e-03 6.5749514420914063e-04 3.3385176763486211e-04
-1.5056113521291755e+02 8.2464456332106352e+01 -1.3714399197743257e-01 -5.9323922775967236e-02 3.0689160538824003e-04 4.1449338622768428e-03 1.1186879560920449e-03 4.1800135956303845e-04 2.6363499505250845e-03 4.6612480555640527e-04 4.2137716722230909e-04
-2.4372569099013168e+02 9.9654729013722587e+01 -1.3829931078157429e-01 -5.1518637975445397e-02 -5.4398929386871120e-04 4.4686902444398434e-03 1.1724742995761867e-03 2.1900919042616373e-04 2.9473978258425263e-03 6.0576928184628734e-04 2.1302530819360791e-04
-2.0959284091481319e+02 5.1350729277770355e+01 -8.4980173714658033e-02 -4.5247512844954201e-02 -3.1364949316634513e-03 2.8617974768638042e-03 9.9063193192674309e-04 3.1876400833301887e-04 1.9270155660025658e-03 4.9290929063224693e-04 2.8426256408472091e-04
-2.2101552002480943e+02 3.3249779663798193e+01 -6.6289502404419040e-02 -3.8557023803064243e-02 -1.9144443969945038e-03 2.3168785986070763e-03 8.5504221505916230e-04 2.5400931339560696e-04 1.5876940721584669e-03 4.3091495322545561e-04 2.3295042502866742e-04
